,Unnamed: 0,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Pop_White,Pop_Black,Pop_AIAN,Pop_Asian,Pop_NHPI,Pop_Total,Cases_TotalN,Cases_WhiteN,Cases_BlackN,Cases_AsianN,Cases_AIANN,Cases_NHPIN,Deaths_TotalN,Deaths_WhiteN,Deaths_BlackN,Deaths_AsianN,Deaths_AIANN,Deaths_NHPIN
16,16,9/16/2020,KS,50870,33504,3671,0,1354,383,0,0,2913,9045,13333,25707,11830,586,416,83,0,13,6,0,0,38,30,89,451,46,2501057,173298,33044,69628,2864,2853118,0.017829617,0.013395936,0.021183164,0.0194462,0.011590606,0,0.000205389,0.00016633,0.000478944,0.000186706,0.000181576,0
17,17,9/16/2020,KY,58764,32130,4678,0,516,147,55,2311,0,18927,4253,32832,21679,1082,821,128,0,12,0,0,23,0,98,34,907,141,3864193,342804,12105,50177,3199,4339367,0.013542067,0.008314802,0.013646282,0.010283596,0.012143742,0.017192873,0.000249345,0.000212464,0.000373391,0.000239153,0,0
18,18,9/16/2020,LA,159865,60748,58240,0,7806,415,183,0,14428,18045,0,0,159865,5294,2657,2371,0,34,4,6,0,28,194,137,4859,298,2902875,1462969,33037,71829,2588,4533372,0.035264037,0.02092684,0.039809456,0.108674769,0.012561673,0.070710974,0.001167784,0.000915299,0.001620677,0.000473346,0.000121076,0.002318393
19,19,9/16/2020,MA,125699,39428,11989,28288,2757,0,0,0,7832,35405,28288,62006,35405,9245,6978,752,642,232,0,0,0,587,54,642,8549,54,5524937,504365,29944,359673,5971,6547629,0.019197636,0.007136371,0.023770484,0.007665296,0,0,0.001411961,0.001263001,0.001490984,0.00064503,0,0
20,20,9/16/2020,MD,117888,28864,37639,25940,2249,0,0,0,5437,17759,25940,74189,17759,3855,1643,1575,442,142,0,0,0,40,13,442,3400,13,3541379,1731513,30885,326655,5391,5773552,0.020418626,0.008150497,0.021737636,0.00688494,0,0,0.0006677,0.000463944,0.000909609,0.000434709,0,0
21,21,9/16/2020,ME,4941,3247,961,0,112,10,3,23,140,445,199,3982,760,138,121,4,0,0,0,0,0,0,13,0,114,24,1269764,16269,8771,13783,377,1328361,0.003719621,0.002557168,0.059069396,0.008125952,0.001140121,0.00795756,0.000103887,9.53E-05,0.000245866,0,0,0
22,22,9/16/2020,MI,125742,59727,26690,0,2348,547,0,8355,8051,20024,9109,77426,39207,6943,3749,2663,0,88,19,0,100,138,186,198,5629,1116,7949497,1416067,68396,243062,3442,9883640,0.012722236,0.007513306,0.018847978,0.009660087,0.007997544,0,0.000702474,0.000471602,0.001880561,0.000362048,0.000277794,0
23,23,9/16/2020,MN,85813,39675,16024,14110,4691,699,126,1099,1461,7928,14110,63775,7928,1985,1494,187,93,90,35,2,12,13,51,93,1827,51,4623461,280949,67325,217792,2958,5303925,0.01617915,0.008581234,0.057035263,0.0215389,0.010382473,0.042596349,0.000374251,0.000323135,0.000665601,0.000413238,0.000519866,0.000676133
24,24,9/16/2020,MO,106587,27713,11725,0,0,0,0,2132,2132,62885,7599,60593,38403,1739,947,474,0,0,0,0,17,60,241,62,1443,233,5038407,700178,30595,100213,7178,5988927,0.017797345,0.00550035,0.016745742,0,0,0,0.000290369,0.000187956,0.000676971,0,0,0
25,25,9/16/2020,MS,91234,31587,36303,2691,319,1261,0,0,5493,13580,2691,55868,32675,2756,1250,1285,38,6,85,0,0,37,56,38,2338,380,1789391,1103101,16837,26477,1700,2967297,0.030746501,0.017652374,0.032909951,0.012048193,0.074894577,0,0.000928791,0.000698562,0.001164898,0.000226612,0.005048405,0
